Journal Report 1 (R3)	Number of Successful Full-Text Article Requests by Month and Journal																		
Account:C000032338:Regensburg University Library																			
Date run:																			
2014-07-18																			
	Publisher	Platform	Print ISSN	Online ISSN	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	YTD Total	YTD HTML	YTD PDF
Landscape Planning	Elsevier	ScienceDirect	0304-3924		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Language & Communication	Elsevier	ScienceDirect	0271-5309		0	0	0	3	0	0	0	0	2	3	0	0	8	0	8
Language Sciences	Elsevier	ScienceDirect	0388-0001		0	0	3	3	2	0	3	0	5	13	4	1	34	12	22
Learning and Individual Differences	Elsevier	ScienceDirect	1041-6080		1	6	2	3	3	6	12	10	3	18	8	1	73	10	63
Learning and Instruction	Elsevier	ScienceDirect	0959-4752		30	12	4	16	17	32	35	5	2	45	18	6	222	93	129
Learning and Motivation	Elsevier	ScienceDirect	0023-9690	1095-9122	1	2	0	2	3	0	37	2	16	26	2	20	111	55	56
Learning, Culture and Social Interaction	Elsevier	ScienceDirect	2210-6561		0	0	0	0	0	0	0	0	0	2	0	0	2	2	0
Leukemia Research	Elsevier	ScienceDirect	0145-2126		25	15	7	11	6	2	12	2	19	8	11	13	131	59	72
Library & Information Science Research	Elsevier	ScienceDirect	0740-8188		2	0	3	0	0	2	0	0	0	7	0	0	14	4	10
Library Acquisitions: Practice & Theory	Elsevier	ScienceDirect	0364-6408		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Library Collections, Acquisitions, and Technical Services	Elsevier	ScienceDirect	1464-9055	1873-1821	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1
Life Sciences	Elsevier	ScienceDirect	0024-3205		27	38	20	36	35	21	37	25	25	28	42	7	341	146	195
Limnologica - Ecology and Management of Inland Waters	Elsevier	ScienceDirect	0075-9511		3	0	0	0	0	0	0	0	0	1	0	0	4	0	4
Linear Algebra and its Applications	Elsevier	ScienceDirect	0024-3795		2	4	2	0	1	1	3	0	0	3	1	1	18	0	18
Lingua	Elsevier	ScienceDirect	0024-3841		1	18	0	7	1	3	2	1	1	0	2	1	37	1	36
Linguistics and Education	Elsevier	ScienceDirect	0898-5898		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lithos	Elsevier	ScienceDirect	0024-4937		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver Transplantation	Elsevier	ScienceDirect	1527-6465		0	0	2	1	0	0	0	0	1	1	0	1	6	0	6
Livestock Production Science	Elsevier	ScienceDirect	0301-6226		0	2	0	0	0	0	0	0	0	0	1	0	3	1	2
Livestock Science	Elsevier	ScienceDirect	1871-1413		0	0	2	0	3	1	0	2	3	0	0	0	11	7	4
Location Science	Elsevier	ScienceDirect	0966-8349		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Long Range Planning	Elsevier	ScienceDirect	0024-6301		45	12	16	9	8	10	1	3	8	14	26	6	158	35	123
Lung Cancer	Elsevier	ScienceDirect	0169-5002		21	26	8	12	7	1	2	1	14	11	8	11	122	65	57
LWT - Food Science and Technology	Elsevier	ScienceDirect	0023-6438	1096-1127	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
Magnetic Resonance Imaging	Elsevier	ScienceDirect	0730-725X		2	1	10	5	2	6	3	9	4	2	6	3	53	31	22
Magnetic Resonance Materials in Physics, Biology and Medicine	Elsevier	ScienceDirect	1352-8661		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mammalian Biology - Zeitschrift fÃ¼r SÃ¤ugetierkunde	Elsevier	ScienceDirect	1616-5047		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Management Accounting Research	Elsevier	ScienceDirect	1044-5005	1096-1224	2	1	0	3	0	0	2	0	0	3	0	0	11	1	10
Marine and Petroleum Geology	Elsevier	ScienceDirect	0264-8172		0	0	2	1	0	0	0	0	0	0	0	0	3	3	0
Marine Chemistry	Elsevier	ScienceDirect	0304-4203		0	0	0	1	0	0	1	0	0	3	0	0	5	1	4
Marine Environmental Research	Elsevier	ScienceDirect	0141-1136		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Geology	Elsevier	ScienceDirect	0025-3227		0	2	0	1	0	0	0	0	3	0	0	0	6	4	2
Marine Micropaleontology	Elsevier	ScienceDirect	0377-8398		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Models	Elsevier	ScienceDirect	1369-9350		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Policy	Elsevier	ScienceDirect	0308-597X		0	0	0	0	3	0	0	0	0	0	1	0	4	2	2
Marine Policy	Elsevier	ScienceDirect	0308-597X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine Pollution Bulletin	Elsevier	ScienceDirect	0025-326X		0	3	0	0	4	0	0	0	1	0	0	0	8	3	5
Marine Pollution Bulletin	Elsevier	ScienceDirect	0025-326X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Materials Characterization	Elsevier	ScienceDirect	1044-5803		0	0	2	0	0	0	0	0	0	0	0	4	6	3	3
Materials Chemistry	Elsevier	ScienceDirect	0390-6035		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Materials Chemistry and Physics	Elsevier	ScienceDirect	0254-0584		0	0	0	2	1	0	3	3	2	2	1	0	14	4	10
Materials Letters	Elsevier	ScienceDirect	0167-577X		0	2	0	0	1	0	2	0	3	2	0	2	12	5	7
Materials Letters	Elsevier	ScienceDirect	0167-577X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Materials Research Bulletin	Elsevier	ScienceDirect	0025-5408		3	0	11	3	3	0	6	0	2	6	7	2	43	23	20
Materials Science and Engineering: A	Elsevier	ScienceDirect	0921-5093		5	3	6	4	1	2	2	4	0	7	5	1	40	18	22
Materials Science and Engineering: B	Elsevier	ScienceDirect	0921-5107		4	14	17	7	15	3	6	7	9	4	8	9	103	56	47
Materials Science and Engineering: C	Elsevier	ScienceDirect	0928-4931		6	7	9	10	14	13	2	5	7	5	8	3	89	55	34
Materials Science and Engineering: R: Reports	Elsevier	ScienceDirect	0927-796X		4	12	0	0	1	0	0	0	12	0	1	0	30	19	11
Materials Science and Engineering: R: Reports	Elsevier	ScienceDirect	0927-796X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Materials Science in Semiconductor Processing	Elsevier	ScienceDirect	1369-8001		0	0	0	0	0	0	4	2	0	3	0	0	9	4	5
Materials Today	Elsevier	ScienceDirect	1369-7021		11	7	10	3	18	17	37	6	13	21	16	17	176	111	65
Mathematical and Computer Modelling	Elsevier	ScienceDirect	0895-7177		0	0	3	2	1	2	1	0	5	4	3	2	23	2	21
Mathematical Biosciences	Elsevier	ScienceDirect	0025-5564		0	0	1	0	1	0	0	0	0	0	0	0	2	0	2
Mathematical Modelling	Elsevier	ScienceDirect	0270-0255		0	1	0	0	0	0	2	1	0	0	1	0	5	0	5
Mathematical Social Sciences	Elsevier	ScienceDirect	0165-4896		0	0	0	0	3	2	0	0	0	0	0	0	5	1	4
Mathematics and Computers in Simulation	Elsevier	ScienceDirect	0378-4754		0	0	0	0	0	0	2	0	0	0	5	2	9	3	6
Matrix	Elsevier	ScienceDirect	0934-8832		0	0	0	0	0	0	0	0	0	1	0	1	2	0	2
Matrix Biology	Elsevier	ScienceDirect	0945-053X		26	28	26	20	15	8	11	16	13	35	16	15	229	143	86
Maturitas	Elsevier	ScienceDirect	0378-5122		0	3	7	1	1	0	0	9	2	0	0	0	23	5	18
Mayo Clinic Proceedings	Elsevier	ScienceDirect	0025-6196		0	0	0	0	0	2	0	0	0	0	0	0	2	1	1
Measurement	Elsevier	ScienceDirect	0263-2241		0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
Meat Science	Elsevier	ScienceDirect	0309-1740		0	1	0	0	1	0	0	0	4	0	1	0	7	5	2
Mechanical Systems and Signal Processing	Elsevier	ScienceDirect	0888-3270	1096-1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mechanics Research Communications	Elsevier	ScienceDirect	0093-6413		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Mechanisms of Ageing and Development	Elsevier	ScienceDirect	0047-6374		6	1	0	1	3	0	0	0	2	0	11	5	29	10	19
Mechanisms of Development	Elsevier	ScienceDirect	0925-4773		9	2	13	9	24	19	13	1	17	26	16	5	154	94	60
Mechatronics	Elsevier	ScienceDirect	0957-4158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MÃ©decine et Maladies Infectieuses	Elsevier	ScienceDirect	0399-077X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medical Clinics of North America	Elsevier	ScienceDirect	0025-7125		0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
Medical Dosimetry	Elsevier	ScienceDirect	0958-3947		0	0	2	1	1	0	2	0	0	1	0	0	7	4	3
Medical Engineering & Physics	Elsevier	ScienceDirect	1350-4533		2	2	0	0	0	0	1	0	0	0	0	1	6	3	3
Medical Hypotheses	Elsevier	ScienceDirect	0306-9877		4	4	2	1	0	0	2	4	1	1	2	13	34	2	32
Medical Image Analysis	Elsevier	ScienceDirect	1361-8415		1	0	0	0	0	0	0	0	0	2	0	0	3	2	1
Medical Mycology Case Reports	Elsevier	ScienceDirect	2211-7539		0	0	0	0	0	0	0	0	0	0	0	2	2	2	0
Membrane Technology	Elsevier	ScienceDirect	0958-2118		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mendeleev Communications	Elsevier	ScienceDirect	0959-9436	1364-551X	1	0	0	0	0	0	1	1	0	0	0	0	3	0	3
Mental Health and Physical Activity	Elsevier	ScienceDirect	1755-2966		0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
Metabolic Bone Disease and Related Research	Elsevier	ScienceDirect	0221-8747		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolic Engineering	Elsevier	ScienceDirect	1096-7176	1096-7184	4	3	6	6	2	2	10	1	6	25	7	4	76	38	38
Metabolism	Elsevier	ScienceDirect	0026-0495		14	15	9	14	6	5	5	3	5	15	9	4	104	51	53
Metal Powder Report	Elsevier	ScienceDirect	0026-0657		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methods	Elsevier	ScienceDirect	1046-2023	1095-9130	41	63	51	91	42	26	33	65	37	44	38	34	565	301	264
Microbes and Infection	Elsevier	ScienceDirect	1286-4579		24	22	19	29	28	17	20	23	7	17	17	6	229	149	80
Microbial Pathogenesis	Elsevier	ScienceDirect	0882-4010	1096-1208	0	1	0	1	0	0	0	0	1	2	0	0	5	1	4
Microbiological Research	Elsevier	ScienceDirect	0944-5013		1	0	6	1	0	1	3	5	0	0	2	0	19	11	8
Microchemical Journal	Elsevier	ScienceDirect	0026-265X		2	1	0	0	1	0	2	3	0	0	0	0	9	1	8
Microchemical Journal	Elsevier	ScienceDirect	0026-265X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microelectronic Engineering	Elsevier	ScienceDirect	0167-9317		0	1	6	1	0	1	1	2	3	1	2	2	20	4	16
Microelectronics Reliability	Elsevier	ScienceDirect	0026-2714		0	1	0	0	0	0	0	0	0	0	1	0	2	0	2
Micron	Elsevier	ScienceDirect	0968-4328		0	5	1	2	5	0	0	0	4	1	0	2	20	9	11
Micron (1969)	Elsevier	ScienceDirect	0047-7206		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micron and Microscopica Acta	Elsevier	ScienceDirect	0739-6260		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microporous and Mesoporous Materials	Elsevier	ScienceDirect	1387-1811		10	3	24	12	10	2	0	1	2	4	4	2	74	41	33
Microprocessors and Microsystems	Elsevier	ScienceDirect	0141-9331		1	0	0	0	0	1	0	0	0	0	0	0	2	1	1
Microvascular Research	Elsevier	ScienceDirect	0026-2862	1095-9319	4	12	4	1	1	13	3	18	6	1	6	0	69	30	39
Midwifery	Elsevier	ScienceDirect	0266-6138		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minerals Engineering	Elsevier	ScienceDirect	0892-6875		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Mining Science and Technology	Elsevier	ScienceDirect	0167-9031		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitochondrion	Elsevier	ScienceDirect	1567-7249		0	0	0	0	0	2	2	0	1	2	0	0	7	4	3
Molecular and Biochemical Parasitology	Elsevier	ScienceDirect	0166-6851		2	10	3	2	1	11	3	6	5	4	7	1	55	26	29
Molecular and Cellular Endocrinology	Elsevier	ScienceDirect	0303-7207		40	63	43	72	18	15	40	23	47	16	32	13	422	237	185
Molecular and Cellular Neuroscience	Elsevier	ScienceDirect	1044-7431	1095-9327	14	15	15	19	18	14	17	14	18	15	12	8	179	109	70
Molecular and Cellular Probes	Elsevier	ScienceDirect	0890-8508	1096-1194	0	0	3	0	0	0	1	0	0	1	0	2	7	2	5
Molecular Aspects of Medicine	Elsevier	ScienceDirect	0098-2997		4	2	0	0	0	0	2	6	7	10	15	4	50	26	24
Molecular Brain Research	Elsevier	ScienceDirect	0169-328X		14	7	7	6	8	2	1	9	10	6	4	2	76	45	31
Molecular Cell	Elsevier	ScienceDirect	1097-2765	1097-4164	195	214	167	235	199	175	169	152	234	176	247	103	2266	1419	847
Molecular Cell Biology Research Communications	Elsevier	ScienceDirect	1522-4724		0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
Molecular Diagnosis	Elsevier	ScienceDirect	1084-8592		0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
Molecular Genetics and Metabolism	Elsevier	ScienceDirect	1096-7192	1096-7206	4	15	14	5	6	19	6	4	3	9	13	2	100	43	57
Molecular Imaging & Biology	Elsevier	ScienceDirect	1536-1632		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Molecular Immunology	Elsevier	ScienceDirect	0161-5890		38	44	19	21	49	27	36	53	37	38	59	20	441	273	168
Molecular Medicine Today	Elsevier	ScienceDirect	1357-4310		5	10	0	0	1	0	2	0	1	1	2	3	25	20	5
Molecular Metabolism	Elsevier	ScienceDirect	2212-8778		2	0	0	0	2	0	9	0	0	0	0	0	13	9	4
Molecular Oncology	Elsevier	ScienceDirect	1574-7891		6	10	0	7	5	6	3	4	8	8	4	0	61	43	18
Molecular Phylogenetics and Evolution	Elsevier	ScienceDirect	1055-7903	1095-9513	43	39	23	63	63	37	73	40	68	115	68	44	676	424	252
Museum Management and Curatorship	Elsevier	ScienceDirect	0964-7775		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mutation Research Letters	Elsevier	ScienceDirect	0165-7992		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mutation Research/DNA Repair	Elsevier	ScienceDirect	0921-8777		2	0	0	0	0	5	0	0	0	0	0	0	7	2	5
Mutation Research/DNA Repair Reports	Elsevier	ScienceDirect	0167-8817		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Mutation Research/DNAging	Elsevier	ScienceDirect	0921-8734		0	0	0	0	0	2	0	0	0	0	0	0	2	0	2
Mutation Research/Environmental Mutagenesis and Related Subjects	Elsevier	ScienceDirect	0165-1161		0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis	Elsevier	ScienceDirect	0027-5107		22	7	12	13	7	6	10	15	10	5	13	9	129	73	56
Mutation Research/Genetic Toxicology	Elsevier	ScienceDirect	0165-1218		0	1	0	2	0	1	1	1	0	0	0	2	8	0	8
Mutation Research/Genetic Toxicology and Environmental Mutagenesis	Elsevier	ScienceDirect	1383-5718		2	4	22	1	2	6	2	2	0	10	5	3	59	31	28
Mutation Research/Mutation Research Genomics	Elsevier	ScienceDirect	1383-5726		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mutation Research/Reviews in Genetic Toxicology	Elsevier	ScienceDirect	0165-1110		0	0	6	1	1	0	0	0	0	0	2	1	11	0	11
Mutation Research/Reviews in Mutation Research	Elsevier	ScienceDirect	1383-5742		3	0	18	0	0	3	0	0	3	0	1	0	28	9	19
Mycological Research	Elsevier	ScienceDirect	0953-7562		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Mycologist	Elsevier	ScienceDirect	0269-915X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nano Energy	Elsevier	ScienceDirect	2211-2855		0	0	0	0	0	0	0	2	0	2	0	0	4	2	2
Nano Today	Elsevier	ScienceDirect	1748-0132		0	0	6	0	0	0	0	0	1	0	0	0	7	4	3
Nanomedicine: Nanotechnology, Biology and Medicine	Elsevier	ScienceDirect	1549-9634	1549-9642	1	7	0	0	0	0	2	2	0	0	1	0	13	9	4
Nanostructured Materials	Elsevier	ScienceDirect	0965-9773		0	0	0	3	0	0	0	1	0	1	0	1	6	2	4
Netherlands Journal of Sea Research	Elsevier	ScienceDirect	0077-7579		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neural Networks	Elsevier	ScienceDirect	0893-6080		2	0	1	4	0	4	0	5	0	0	0	1	17	11	6
Neurobiology of Aging	Elsevier	ScienceDirect	0197-4580		15	7	20	11	7	6	10	9	5	4	12	1	107	63	44
Neurobiology of Disease	Elsevier	ScienceDirect	0969-9961	1095-953X	29	37	27	11	27	24	30	36	17	40	28	6	312	179	133
Neurobiology of Learning and Memory	Elsevier	ScienceDirect	1074-7427	1095-9564	4	2	0	1	0	0	4	0	0	0	6	1	18	6	12
Neurochemistry International	Elsevier	ScienceDirect	0197-0186		1	4	1	2	1	5	2	0	3	1	5	1	26	11	15
Neurochirurgie	Elsevier	ScienceDirect	0028-3770		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Neurocomputing	Elsevier	ScienceDirect	0925-2312		0	0	3	0	4	0	0	1	0	0	0	0	8	5	3
Neurodegeneration	Elsevier	ScienceDirect	1055-8330		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NeuroImage	Elsevier	ScienceDirect	1053-8119	1095-9572	175	226	160	172	209	141	224	187	212	151	296	210	2363	1315	1046
NeuroImage: Clinical	Elsevier	ScienceDirect	2213-1582		0	0	0	1	0	0	1	1	2	0	2	1	8	6	2
Neuromuscular Disorders	Elsevier	ScienceDirect	0960-8966		4	2	2	3	3	2	3	3	0	4	3	6	35	15	20
Neuron	Elsevier	ScienceDirect	0896-6273		63	119	74	88	91	73	114	109	77	134	130	76	1148	670	478
Neuropeptides	Elsevier	ScienceDirect	0143-4179		7	8	10	10	8	5	8	10	16	5	6	11	104	53	51
Neuropharmacology	Elsevier	ScienceDirect	0028-3908		19	31	24	24	22	24	40	33	26	14	20	8	285	152	133
Neurophysiologie Clinique/Clinical Neurophysiology	Elsevier	ScienceDirect	0987-7053		4	1	0	0	0	1	0	0	0	0	2	0	8	2	6
Neuroprotocols	Elsevier	ScienceDirect	1058-6741		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neuropsychiatrie de l'Enfance et de l'Adolescence	Elsevier	ScienceDirect	0222-9617		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neuropsychologia	Elsevier	ScienceDirect	0028-3932		62	87	104	48	107	72	99	51	48	42	82	84	886	481	405
Neuropsychopharmacology	Elsevier	ScienceDirect	0893-133X		0	4	3	0	0	0	0	0	0	0	0	1	8	4	4
Neuropsychopharmacology	Elsevier	ScienceDirect	0893-133X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neuroscience	Elsevier	ScienceDirect	0306-4522		85	87	61	43	75	69	118	99	83	92	52	39	903	511	392
Neuroscience & Biobehavioral Reviews	Elsevier	ScienceDirect	0149-7634		56	97	45	50	54	32	59	30	48	68	50	38	627	330	297
Neuroscience Letters	Elsevier	ScienceDirect	0304-3940		40	45	42	23	41	40	46	37	26	59	42	50	491	267	224
Neuroscience Research	Elsevier	ScienceDirect	0168-0102		5	4	5	9	11	4	6	6	14	7	1	4	76	47	29
Neuroscience Research Supplements	Elsevier	ScienceDirect	0921-8696		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NeuroToxicology	Elsevier	ScienceDirect	0161-813X		0	0	0	0	0	5	0	0	0	0	3	2	10	6	4
NeuroToxicology	Elsevier	ScienceDirect	0161-813X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurotoxicology and Teratology	Elsevier	ScienceDirect	0892-0362		3	0	0	2	1	1	0	0	0	0	0	0	7	4	3
New Astronomy	Elsevier	ScienceDirect	1384-1076	1384-1092	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
New Astronomy Reviews	Elsevier	ScienceDirect	1387-6473		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Biotechnology	Elsevier	ScienceDirect	1871-6784		5	2	0	2	5	0	3	6	2	2	6	0	33	21	12
New Ideas in Psychology	Elsevier	ScienceDirect	0732-118X		0	1	0	4	1	0	0	0	0	0	1	0	7	1	6
New Ideas in Psychology	Elsevier	ScienceDirect	0732-118X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitric Oxide	Elsevier	ScienceDirect	1089-8603	1089-8611	3	1	2	0	6	0	0	4	0	3	0	0	19	6	13
NJAS - Wageningen Journal of Life Sciences	Elsevier	ScienceDirect	1573-5214		0	0	0	0	0	0	0	0	2	0	0	0	2	1	1
Nonlinear Analysis: Real World Applications	Elsevier	ScienceDirect	1468-1218		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonlinear Analysis: Theory, Methods & Applications	Elsevier	ScienceDirect	0362-546X		6	3	0	0	1	3	0	3	2	1	0	0	19	2	17
Nonlinear Analysis: Theory, Methods & Applications	Elsevier	ScienceDirect	0362-546X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North American Review of Economics and Finance	Elsevier	ScienceDirect	1042-752X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear and Chemical Waste Management	Elsevier	ScienceDirect	0191-815X		1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Nuclear and Chemical Waste Management	Elsevier	ScienceDirect	0191-815X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Data Sheets	Elsevier	ScienceDirect	0090-3752	1095-9904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Data Sheets. Section A	Elsevier	ScienceDirect	0550-306X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Data Sheets. Section B	Elsevier	ScienceDirect	0090-550X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Engineering and Design	Elsevier	ScienceDirect	0029-5493		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Engineering and Design. Fusion	Elsevier	ScienceDirect	0167-899X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Instruments	Elsevier	ScienceDirect	0369-643X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Instruments and Methods	Elsevier	ScienceDirect	0029-554X		1	1	3	1	0	0	0	0	1	2	1	1	11	0	11
Nuclear Instruments and Methods	Elsevier	ScienceDirect	0029-554X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuclear Instruments and Methods in Physics Research	Elsevier	ScienceDirect	0167-5087		4	0	4	0	0	0	0	0	2	0	0	0	10	0	10
Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment	Elsevier	ScienceDirect	0168-9002		2	1	1	2	2	3	0	1	0	1	4	1	18	7	11
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms	Elsevier	ScienceDirect	0168-583X		0	7	26	2	2	1	10	2	0	5	6	5	66	28	38
